"Internal ID","Name","Address","Country","State or Province","County","City","Specific Place","Modern Location","Visited","Mentioned Only","Latitude","Longitude","Website URL","Total Usage Count","Confirmed"
"31044","Cebolleta, Valencia County, New Mexico Territory","","","New Mexico Territory","Valencia County","Cebolleta","","Seboyeta, Cibola County, New Mexico","","","35.2011501","-107.3892143","https://wilfordwoodruffpapers.org/subjects/cebolleta-valencia-county-new-mexico-territory","2","2022-11-17"
"31045","Yakima, Yakima County, Washington","","","Washington","Yakima County","Yakima","","Yakima, Yakima County, Washington","","","46.6020711","-120.5058987","https://wilfordwoodruffpapers.org/subjects/yakima-yakima-county-washington","1","2022-11-17"
"31062","Black Falls, Yavapai County, Arizona Territory","","","Arizona Territory","Yavapai County","","Black Falls","Black Falls, Coconino County, Arizona","","","35.5702793","-111.2757015","https://wilfordwoodruffpapers.org/subjects/black-falls-yavapai-county-arizona-territory","4","2022-11-17"
"31063","Grand Falls, Yavapai County, Arizona Territory","","","Arizona Territory","Yavapai County","","Grand Falls","Grand Falls, Coconino County, Arizona","","","35.4275054","-111.2007011","https://wilfordwoodruffpapers.org/subjects/grand-falls-yavapai-county-arizona-territory","5","2022-11-17"
"31064","Bluewater, Valencia County, New Mexico Territory","","","New Mexico Territory","Valencia County","Bluewater","","Bluewater, Cibola County, New Mexico","","","35.267159","-108.1309844","https://wilfordwoodruffpapers.org/subjects/bluewater-valencia-county-new-mexico-territory","1","2022-11-17"
"31065","Logan, Harrison County, Iowa","","","Iowa","Harrison County","Logan","","","","","41.6430766","-95.7891219","https://wilfordwoodruffpapers.org/subjects/logan-harrison-county-iowa","1",""
"31069","Deming, Grant County, New Mexico Territory","","","New Mexico Territory","Grant County","Deming","","Deming, Luna County, New Mexico","","","32.2686981","-107.7586404","https://wilfordwoodruffpapers.org/subjects/deming-grant-county-new-mexico-territory","7","2022-11-17"
"31089","Fort Wingate, Bernalillo County, New Mexico Territory","","","New Mexico Territory","Bernalillo County","Fort Wingate","","Fort Wingate, McKinley County, New Mexico","","","35.4718903","-108.5438525","https://wilfordwoodruffpapers.org/subjects/fort-wingate-bernalillo-county-new-mexico-territory","2","2022-11-17"
"31122","Mathewsville, Graham County, Arizona Territory","","","Arizona Territory","Graham County","Mathewsville","","Does not exist","","","33.076805","-109.7591675","https://wilfordwoodruffpapers.org/subjects/mathewsville-graham-county-arizona-territory","2","2022-11-17"
"31350","Kingston, Upper Canada, British North America","","British North America","Upper Canada","","Kingston","","Kingston, Ontario, Canada","","","44.231345","-76.4809694","https://wilfordwoodruffpapers.org/subjects/kingston-upper-canada-british-north-america","2",""
"31351","Upper Canada, British North America","","British North America","Upper Canada","","","","Ontario, Canada","","","56.130366","-106.346771","https://wilfordwoodruffpapers.org/subjects/upper-canada-british-north-america","5","2022-11-22"
"31352","Great Salt Lake Valley, Utah Territory","","","Utah Territory","","","Great Salt Lake Valley","","","","40.6923764","-111.9045541","https://wilfordwoodruffpapers.org/subjects/great-salt-lake-valley-utah-territory","197","2022-11-18"
"31353","Ensign Peak, Utah Territory","","","Utah Territory","","","Ensign Peak","Ensign Peak, Salt Lake County, Utah","","","40.7943902","-111.8904922","https://wilfordwoodruffpapers.org/subjects/ensign-peak-utah-territory","4","2022-11-18"
"31355","Sugar House, Great Salt Lake City, Great Salt Lake County, Utah Territory","","","Utah","Great Salt Lake County","Great Salt Lake City","Sugar House","","","","40.7126821","-111.853456","https://wilfordwoodruffpapers.org/subjects/sugar-house-great-salt-lake-city-great-salt-lake-county-utah-territory","1",""
"31366","Skowhegan, Somerset County, Maine","","","Maine","Somerset County","Skowhegan","","","","","44.7650366","-69.7193803","https://wilfordwoodruffpapers.org/subjects/skowhegan-somerset-county-maine","2",""
"31374","Willamette River, Oregon","","","Oregon","","","Willamette River","Willamette River, Oregon","","","44.83792062","-122.9361871","https://wilfordwoodruffpapers.org/subjects/willamette-river-oregon","2","2022-01-20"
"31375","Albany, Linn County, Oregon","","","Oregon","Linn County","Albany","","Albany, Linn County, Oregon","","","44.6365107","-123.1059282","https://wilfordwoodruffpapers.org/subjects/albany-linn-county-oregon","1","2023-01-20"
"31376","Oregon City, Clackamas County, Oregon","","","Oregon","Clackamas County","Oregon City","","Oregon City, Clackamas County, Oregon","","","45.3556099","-122.605853","https://wilfordwoodruffpapers.org/subjects/oregon-city-clackamas-county-oregon","1","2023-01-20"
"31377","Astoria, Clatsop County, Oregon","","","Oregon","Clatsop County","Astoria","","Astoria, Clatsop County, Oregon","","","46.1878841","-123.8312534","https://wilfordwoodruffpapers.org/subjects/astoria-clatsop-county-oregon","1","2023-01-20"
